gene,importance
CALR,0.001165211537948756
RPS17,0.0011585431863339467
FCN1,0.0011528562612847422
MAN1A2,0.0011352041584786574
RPLP0P2,0.001106125066813616
HMGB2,0.001096190324017947
PIM1,0.001088226590513654
PNN,0.00106819619341095
CDK1,0.0010611412848956113
ACTG1,0.001055928215174762
COMMD6,0.0010519088893941972
SMC4,0.0010380065087966309
RPL29,0.0010373577009534832
ALAS1,0.0010347124371971224
AIF1,0.001012434083733957
YWHAB,0.0009866385276641092
LUC7L3,0.0009732311183936935
SOX4,0.000971448671834676
TPM3,0.0009543153126628372
PSMA3,0.0009525341758988441
GAS5,0.0009496406467073638
ATP5E,0.0009484814920112178
RPLP0,0.0009375103146368815
CCL5,0.0009345045143434555
EGR1,0.0009166839548275751
GMFB,0.0009161115803594135
RASSF4,0.00091241542881568
HSP90AB1,0.0009108150594432897
LCP1,0.0009021161126636997
NPM1,0.0008862675323344396
RNA28S,0.0008581651954077961
C8orf76,0.0008539027680006155
DNTT,0.0008481321259651489
SYNCRIP,0.0008372189342116814
AASDHPPT,0.0008343514287846547
RSL24D1,0.0008294229684624957
CDC42,0.0008250956025974357
DUT,0.0008192817634340488
SRPK1,0.000813733712703294
RPS16,0.0008105142582853633
SRSF5,0.0008088379809616837
PLAC8,0.0008071340955768933
CALM2,0.0007586995303669573
HIST1H4C,0.0007404112653003479
NPR3,0.0007311005954355437
FKBP4,0.0007243100386941133
RNVU1-14,0.0007178921526174487
STMN1,0.0007174163470050141
HBA2,0.0007107558185408903
CCL2,0.0007102913268022364
PABPC1,0.0007101943350681487
FGL2,0.0007035816695782697
VCAN,0.0006964828677062054
PHLDB2,0.0006941368768200193
HIST1H1B,0.0006869545097989675
RPL36,0.0006810521622158667
KCNJ3,0.0006805600013308212
HBD,0.00067239190175096
IDS,0.0006599119162445293
GAPT,0.0006446506521390291
HNRNPA1,0.0006428519669442828
PSAP,0.0006403494081641029
CPD,0.0006394819265118204
PSMB1,0.0006334247695909313
BMP2,0.0006322878533445825
RPL38,0.0006322163015723768
IFITM1,0.0006314314663767058
MACF1,0.000631074323265745
NCL,0.0006251225994523562
TNRC6B,0.0006038262330651261
MYH10,0.0005867332781876331
BCLAF1,0.0005856540626200612
FAM111B,0.0005786887751155251
ELANE,0.0005742373647034551
RPL8,0.0005739453161335248
SERPINA1,0.0005737023204764525
CA1,0.0005728370694374785
NACA,0.0005717678252546012
HNRNPK,0.0005558479169556663
HIBADH,0.0005557462324408428
DDX5,0.0005528596676232741
SRSF3,0.0005520696720037663
RPL23A,0.0005513264072417593
CD164,0.000544294817381085
